sketch_type,k,n_trial,estimate,exact
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,1,1.782c5c05c3b12p+53,12482288659094386
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,2,1.7f57c62ebb4eep+53,12475480367452744
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,3,1.81fc8d434efcdp+53,12764391112196804
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,4,1.795c09ad4b432p+53,12579107062355454
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,5,1.7613e82e8270fp+53,12543610067759980
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,6,1.6d466e444128fp+53,12393134180899400
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,7,1.7b65b0625280ap+53,12608973845956620
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,8,1.7a74ce8820ec5p+53,12544982358580564
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,9,1.85320231430ffp+53,12733285856481386
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,10,1.6f84a530fdd05p+53,12587547540290274
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,1,1.67d326ce28858p+53,12482288659094386
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,2,1.610b5ac63f5fap+53,12475480367452744
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,3,1.6ba1487f4b7ffp+53,12764391112196804
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,4,1.62c6e9d0c40b4p+53,12579107062355454
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,5,1.614bf6b5d1506p+53,12543610067759980
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,6,1.5ebb3918f1646p+53,12393134180899400
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,7,1.6515f9228c996p+53,12608973845956620
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,8,1.577a20f4fe68cp+53,12544982358580564
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,9,1.652d700de941dp+53,12733285856481386
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,10,1.65d9cb3b74ebep+53,12587547540290274
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,1,1.614cba74f48c2p+53,12482288659094386
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,2,1.60a14ebe4a7bbp+53,12475480367452744
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,3,1.696b53c322eacp+53,12764391112196804
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,4,1.61be219b84fb4p+53,12579107062355454
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,5,1.6213cbdf26d4dp+53,12543610067759980
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,6,1.5c206404e856dp+53,12393134180899400
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,7,1.65c888067d64ep+53,12608973845956620
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,8,1.63d828428b615p+53,12544982358580564
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,9,1.6793f74e6870dp+53,12733285856481386
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,10,1.62dd12c2c2af7p+53,12587547540290274
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,1,1.614c2fa8ea8b7p+53,12482288659094386
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,2,1.61342ed65fb52p+53,12475480367452744
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,3,1.68e7be7764006p+53,12764391112196804
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,4,1.642385f747d35p+53,12579107062355454
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,5,1.61deec6a9b3ccp+53,12543610067759980
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,6,1.5fca9b92c97d5p+53,12393134180899400
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,7,1.653b5289d3505p+53,12608973845956620
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,8,1.63cbc0f6b2978p+53,12544982358580564
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,9,1.68ea6a63b5b72p+53,12733285856481386
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,10,1.64eeb056f20e2p+53,12587547540290274
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,1,1.60ae587deb558p+53,12482288659094386
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,2,1.60aa5998f8bd1p+53,12475480367452744
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,3,1.6939bd1089662p+53,12764391112196804
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,4,1.64653f987066p+53,12579107062355454
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,5,1.62387f480b42cp+53,12543610067759980
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,6,1.5e7bd6ee79beap+53,12393134180899400
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,7,1.644105dd67c5cp+53,12608973845956620
