sketch_type,k,n_trial,estimate,exact
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,1,1.2220755d21583p+11,7095
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,2,1.3021274fd270dp+11,7077
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,3,1.273b5cb200a61p+11,7106
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,4,1.2966467490956p+11,7109
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,5,1.2c58cb45dfe61p+11,7107
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,6,1.2651fbefc55cfp+11,7099
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,7,1.3241ecd4d4c35p+11,7134
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,8,1.260c077c18f17p+11,7119
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,9,1.2c61a8ca59fd5p+11,7101
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,10,1.3676a0eba745fp+11,7098
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,11,1.3e87d03369335p+11,7143
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,12,1.247f1ae56b5dp+11,7084
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,13,1.3433f049a834dp+11,7150
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,14,1.27e959dd4e65cp+11,7121
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,15,1.26520ff037339p+11,7233
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,16,1.288e5e5ca70fdp+11,7069
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,17,1.21aa93d6ce8fbp+11,7066
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,18,1.2a2ddf4e2fe58p+11,7109
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,19,1.33cc78116286ep+11,7116
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,20,1.34bfc2309d89bp+11,7113
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,21,1.24bb1337fb431p+11,7112
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,22,1.34b069b1e6897p+11,7034
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,23,1.246abfac3daecp+11,7082
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,24,1.24ee5beb10d35p+11,7130
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,25,1.2dc24a20c9aa7p+11,7084
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,26,1.2336e6108febap+11,7102
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,27,1.35064ede3ec11p+11,7136
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,28,1.249c65f143382p+11,7109
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,29,1.22b6109c82169p+11,7148
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,30,1.26237dee2e7bcp+11,7083
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,1,1.32e94c5467f36p+11,7095
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,2,1.2fff49e52ac3p+11,7077
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,3,1.29fdfeeb48cc2p+11,7106
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,4,1.275759e671774p+11,7109
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,5,1.27540649f4d52p+11,7107
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,6,1.1eedd322c5921p+11,7099
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,7,1.2f7cff014c7a6p+11,7134
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,8,1.2b45fbd1298acp+11,7119
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,9,1.2c3ce2be645d1p+11,7101
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,10,1.280ce16490f9bp+11,7098
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,11,1.25c0fc231fdb9p+11,7143
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,12,1.320eec1a41396p+11,7084
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,13,1.34ce4e4296283p+11,7150
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,14,1.30903b264bd62p+11,7121
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,15,1.31c27ce997532p+11,7233
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,16,1.398f8077c5a74p+11,7069
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,17,1.2721b4c6e022ep+11,7066
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,18,1.32fc559e3566bp+11,7109
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,19,1.37ee0f98e4d5ep+11,7116
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,20,1.3ea2093952e97p+11,7113
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,21,1.2ba48368eacaap+11,7112
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,22,1.27e24e0953dfp+11,7034
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,23,1.31a8436fb2f1cp+11,7082
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,24,1.24be53e633a63p+11,7130
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,25,1.2bbdf59b2ab82p+11,7084
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,26,1.29f0f7882143p+11,7102
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,27,1.2e061702bca08p+11,7136
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,28,1.2f156892e89dp+11,7109
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,29,1.30cc0ba44bc41p+11,7148
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,30,1.2fdfb945b11b3p+11,7083
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,1,1.34949e2879e61p+11,7095
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,2,1.2da63f8a1a063p+11,7077
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,3,1.36c7d6c87e29ap+11,7106
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,4,1.2661a76a9fe5cp+11,7109
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,5,1.31326a700ab5bp+11,7107
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,6,1.34882ae88c3e9p+11,7099
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,7,1.376dc1f9d328dp+11,7134
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,8,1.3396d908a93a4p+11,7119
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,9,1.2d85297af5be1p+11,7101
