sketch_type,k,n_trial,estimate,exact
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,1,1.f452a165f3caap+10,8546
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,2,1.f46a069bce26ep+10,8533
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,3,1.f216cba0ef521p+10,8486
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,4,1.e7c2181c7ae67p+10,8558
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,5,1.e81b202470b98p+10,8566
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,6,1.0dfea897279a6p+11,8600
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,7,1.e595cb773539fp+10,8510
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,8,1.cab54d43a4f1ap+10,8571
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,9,1.ff82c24e7444dp+10,8545
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,10,1.f2a95be721b57p+10,8515
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,1,1.d77b171063663p+10,8546
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,2,1.06f5ec449e6ddp+11,8533
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,3,1.eeb6af88dbf1fp+10,8486
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,4,1.ec513c7822d6dp+10,8558
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,5,1.f0f95671a7bfep+10,8566
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,6,1.064d72fbc7557p+11,8600
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,7,1.056548b7c2225p+11,8510
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,8,1.e86074e9e8be2p+10,8571
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,9,1.09a01c3a5e671p+11,8545
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,10,1.01318126f735ep+11,8515
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,1,1.0066ef556a686p+11,8546
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,2,1.064f551edbe9fp+11,8533
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,3,1.ffeba26271edfp+10,8486
