sketch_type,k,n_trial,estimate,exact
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,1,1.4b87f291ea8e4p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,2,1.4b7cade5ead26p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,3,1.4b7c411276999p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,4,1.4b8ae6e8a5e9bp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,5,1.4b7b71e604ff8p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,6,1.4b8b5c2ad2ebfp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,7,1.4b7bc48d641b4p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,8,1.4b7fcd851a7f2p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,9,1.4b7c26e173ec4p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,10,1.4b7d1ed7cf9dcp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,1,1.4b7f709e9ad0dp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,2,1.4b7e91ef739eap+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,3,1.4b7cee22e5f86p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,4,1.4b7d8b2a5d336p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,5,1.4b7f3318bf192p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,6,1.4b7f78d502e42p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,7,1.4b7e6dbba4e8p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,8,1.4b7ccbb776f24p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,9,1.4b7f0750eda05p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,10,1.4b7f031dd598fp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,1,1.4b7ca2146c17dp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,2,1.4b7c8f58280bcp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,3,1.4b7c3a7709a3bp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,4,1.4b7abc0671a32p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,5,1.4b7cc48571e0ap+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,6,1.4b7c7b5da68a2p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,7,1.4b7c62f71486dp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,8,1.4b7c497f59322p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,9,1.4b7d6c128c61fp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,10,1.4b7d2506ffbd6p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,1,1.4b7cd8bf82cf8p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,2,1.4b7cfa99a8678p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,3,1.4b7cae41ca421p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,4,1.4b7c4046cb9a5p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,5,1.4b7bce4794f02p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,6,1.4b7c7565e114p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,7,1.4b7c943743d59p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,8,1.4b7c4809e9e26p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,9,1.4b7c0c5eac522p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,10,1.4b7c4b5cec952p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,1,1.4b7ca7f2e90bfp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,2,1.4b7be12589efbp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,3,1.4b7c7b63de1d3p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,4,1.4b7cc50aa6412p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,5,1.4b7aa495dc3b8p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,6,1.4b7c836993f9ep+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,7,1.4b7c90d3e26b1p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,8,1.4b7c821b53a1bp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,9,1.4b7cbf11c837dp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,10,1.4b7c396defae2p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,1,1.4b7c7c83534cep+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,2,1.4b7c67b1ff31p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,3,1.4b7c57ee32f5cp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,4,1.4b7c51b12e2fbp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,5,1.4b7c7f01504eep+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,6,1.4b7c9c7edb116p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,7,1.4b7cd571357ap+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,8,1.4b7c5f75823c4p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,9,1.4b7cb482b124dp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,10,1.4b7bcd3fc296ep+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,1,1.4b7bfc07b3a88p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,2,1.4b7c391c5f7ffp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,3,1.4b7bd3a4e82afp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,4,1.4b7c36495124cp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,5,1.4b7be0a0fd698p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,6,1.4b7bb8e94f7e9p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,7,1.4b7bb32789dd9p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,8,1.4b79f6a5d266fp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,9,1.4b7c1d4f94726p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,10,1.4b7c5f60f29ebp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,1,1.4b7bcc8295a0ap+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,2,1.4b7c02b0e148p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,3,1.4b7c25808c354p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,4,1.4b7bbb5bc8b55p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,5,1.4b7b5e4c137f9p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,6,1.4b7ba7b37f4f8p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,7,1.4b7bf4574fcbfp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,8,1.4b7bcfbeaee0fp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,9,1.4b7c4281b5677p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,10,1.4b7c27b97b415p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,16384,1,1.4b7bc46530294p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,16384,2,1.4b7ae7d548194p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,16384,3,1.4b7bbb2bbfdcep+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,16384,4,1.4b7b23f08d4ep+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,16384,5,1.4b7b35f648ca8p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,16384,6,1.4b7b677fb2a89p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,16384,7,1.4b7b961cac545p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,16384,8,1.4b7b14adbdd6cp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,16384,9,1.4b7b4e035f375p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,16384,10,1.4b7b7c8a51801p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,32768,1,1.4b7a6cb2486c8p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,32768,2,1.4b7a9ac547e9cp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,32768,3,1.4b7a9a9a82b33p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,32768,4,1.4b7ab7e98a6b4p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,32768,5,1.4b7a8ce01f034p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,32768,6,1.4b7a8cd15f8p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,32768,7,1.4b7a8f1ab917fp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,32768,8,1.4b7ad229497b4p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,32768,9,1.4b7b13e89cb17p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,32768,10,1.4b7afc04bb8eap+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,65536,1,1.4b788f924cf62p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,65536,2,1.4b78eaac9c09ap+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,65536,3,1.4b785c34c52e6p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,65536,4,1.4b7963398ba7p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,65536,5,1.4b78e5eb0f6dbp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,65536,6,1.4b78ef68828a5p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,65536,7,1.4b78af49ee8a3p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,65536,8,1.4b787482f2073p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,65536,9,1.4b78c86ef1ae9p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,65536,10,1.4b78ba32f6779p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,64,1,1.c55b48e5fe64ep+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,64,2,1.c59600aca504ep+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,64,3,1.c57c99a99312ep+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,64,4,1.c5846bab8794bp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,64,5,1.ca3f79952c7efp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,64,6,1.c59e1043dbd2fp+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,64,7,1.96ffac028557ap+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,64,8,1.c595f313e33f9p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,64,9,1.63e0803c03fd5p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,64,10,1.6870a420c6426p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,128,1,1.97987b2f54549p+66,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,128,2,1.f22eb9566d3c7p+65,95524854700726448442
central_bucket_expo_abs_0.001_k=k_kh=0,128,3,1.979f3181ee6b2p+66,95524854700726448442
