sketch_type,k,n_trial,estimate,exact
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,1,1.619a2bee8ad9ep+40,2752325798
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,2,1.61e92eb9d76adp+40,67396808
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,3,1.619912d0ef555p+40,39771944
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,4,1.627ef7deda9afp+40,31467680
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,5,1.621007a1e015bp+40,22555904
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,6,1.6199fb1fe1947p+40,348858098
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,7,1.627509d9dfd36p+40,1056606410
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,8,1.61f5aab63c6bap+40,63079502
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,9,1.619be720afa24p+40,206356250
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,10,1.613443365a093p+40,194453936
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,1,1.503a65a24d49dp+40,2752325798
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,2,1.509b8fb9b3f5dp+40,67396808
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,3,1.50cb4261fbdc4p+40,39771944
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,4,1.50b31b678db77p+40,31467680
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,5,1.500a62ce0a545p+40,22555904
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,6,1.4fcc095fb743fp+40,348858098
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,7,1.5095fe448837ap+40,1056606410
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,8,1.50b4ef0e41f5dp+40,63079502
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,9,1.503f65b317ac5p+40,206356250
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,10,1.5044984a4959ep+40,194453936
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,1,1.369f4df73980ep+40,2752325798
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,2,1.3623d5b3b5c9fp+40,67396808
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,3,1.3586cc28c36bap+40,39771944
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,4,1.35dc34b37fad8p+40,31467680
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,5,1.365a47fc4ca57p+40,22555904
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,6,1.3695f4a3ebe3fp+40,348858098
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,7,1.367ca41634278p+40,1056606410
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,8,1.367d304a99d3cp+40,63079502
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,9,1.369cb000a6aacp+40,206356250
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,10,1.3669f08a93b51p+40,194453936
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,1,1.37089d15f18f1p+40,2752325798
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,2,1.372c3d442265ep+40,67396808
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,3,1.372e68f8a6e3cp+40,39771944
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,4,1.370d82cce7ab4p+40,31467680
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,5,1.3716183769fd7p+40,22555904
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,6,1.377a933698f0ap+40,348858098
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,7,1.379d231b3c241p+40,1056606410
