sketch_type,k,n_trial,estimate,exact
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,1,1.296853084d9f9p+11,7075
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,2,1.27f18e8c0f165p+11,7154
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,3,1.29869d4bc0905p+11,7055
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,4,1.28d0dbe6a5d94p+11,7111
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,5,1.1ecd89cecb177p+11,7089
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,6,1.205ae946b9b3ap+11,7100
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,7,1.243735539b9c8p+11,7109
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,8,1.24a39327892a3p+11,7136
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,9,1.21a36c14410c4p+11,7108
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,10,1.295afd4a51f83p+11,7114
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,1,1.2f211fb9ffed4p+11,7075
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,2,1.263b8b8a4f71fp+11,7154
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,3,1.2dd5b0ebd3287p+11,7055
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,4,1.340077f983eap+11,7111
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,5,1.2dc604e3f3a39p+11,7089
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,6,1.2e01e105b1169p+11,7100
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,7,1.30a58950b06ap+11,7109
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,8,1.25c98a6ca91c9p+11,7136
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,9,1.248d96008d74bp+11,7108
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,10,1.28de3f9d0ced1p+11,7114
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,1,1.253a6de80b9efp+11,7075
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,2,1.367441862781dp+11,7154
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,3,1.3096cf24e6814p+11,7055
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,4,1.2d15320b0b701p+11,7111
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,5,1.326c3586c0ebp+11,7089
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,6,1.2bbee1ee88bf2p+11,7100
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,7,1.2ac1d21e5e289p+11,7109
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,8,1.2b7102449561dp+11,7136
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,9,1.30de2a0c8bbc9p+11,7108
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,10,1.26d1bb28fab4ep+11,7114
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,1,1.2d4cb5ef28bd2p+11,7075
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,2,1.2aeed3b62e61ap+11,7154
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,3,1.24d424af7e1cp+11,7055
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,4,1.36e5ac9f510b1p+11,7111
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,5,1.3dd529fceb86bp+11,7089
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,6,1.3a7ac8671e8f9p+11,7100
